"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","neg_log10_padj","status","status_strict","gene_name","description"
"YGR087C",459.39711109665,-4.93041115124751,0.269708091008549,5.6537861566872e-76,3.44598266250085e-72,71.4626869119139,"Down in thin","Down in thin","PDC6","Minor isoform of pyruvate decarboxylase; decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation"
"YCR105W",562.003375428933,7.28991155578506,0.405207431778977,3.03526831630997e-73,9.24998019395462e-70,69.0338591971707,"Up in thin","Up in thin","ADH7","NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance"
"YGR088W",664.141593276478,-4.81550140161393,0.276314555161223,2.47320242678369e-69,5.02472293041553e-66,65.2988878807949,"Down in thin","Down in thin","CTT1","Cytosolic catalase T; has a role in protection from oxidative damage by hydrogen peroxide"
"YHR094C",486.763393214133,-4.30912855850497,0.2564516397691,1.04405433443639e-64,1.59087779209745e-61,60.7983631806653,"Down in thin","Down in thin","HXT1","Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication"
"YKR097W",251.43965425522,5.23076224922717,0.335364675762465,1.23605771432179e-55,1.50675435375826e-52,51.8219575449668,"Up in thin","Up in thin","PCK1","Phosphoenolpyruvate carboxykinase; key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol"
"YPL095C",375.361534043276,-3.67470199862577,0.257048961856054,1.44746172326067e-47,1.4703798672123e-44,43.8325704523797,"Down in thin","Down in thin","EEB1","Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication"
"YLR377C",299.906336209961,4.591651827738,0.325716429358498,2.86320974797361e-46,2.49303763055702e-43,42.6032711660931,"Up in thin","Up in thin","FBP1","Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p"
"YPR036W-A",899.714197049792,3.93965554354186,0.304626166710882,1.75781526417194e-39,1.339235504391e-36,35.8731430456436,"Up in thin","Up in thin","SPO24","Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p"
"YOR273C",398.967474246298,-3.09894306263995,0.243124651739763,1.56882061392654e-38,1.06244018243137e-35,34.9736955122624,"Down in thin","Down in thin","TPO4","Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane"
"YNR034W-A",1713.46872503068,4.80494814400923,0.383715418910567,3.2558666688098e-37,1.98445073463958e-34,33.7023596782835,"Up in thin","Up in thin","EGO4","Protein of unknown function; expressed during diauxic shift and stationary phase, and negatively regulated by glucose; expression is regulated by Msn2p/Msn4p; overexpression slows down progression through meiosis and improves fermentative efficiency; YNR034W-A has a paralog, YCR075W-A, that arose from the whole genome duplication"
"YBR072W",1166.77207910643,3.86093064748054,0.31656805409773,2.06118679148059e-35,1.14208486309766e-32,31.9423016244564,"Up in thin","Up in thin","HSP26","Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity"
"YNL036W",276.605303911409,3.44299233545453,0.283021492500953,3.89114092096347e-35,1.97637532610603e-32,31.7041305766622,"Up in thin","Up in thin","NCE103","Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress"
"YDL243C",194.147026316332,4.02432145218499,0.334181976588749,1.31095809584814e-34,6.14637661091878e-32,31.211380832457,"Up in thin","Up in thin","AAD4","Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family"
"YGR201C",144.784793646003,-3.79113890710121,0.31861998378337,6.83570241409382e-34,2.97597187242156e-31,30.5263711778674,"Down in thin","Down in thin",NA,"Protein of unknown function"
