"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","generation of precursor metabolites and energy","77/763","223/5539",0.345291479820628,2.50664417657465,9.17861657878516,7.74207661054353e-16,1.14118209239412e-12,1.14118209239412e-12,"YMR256C/YNR001C/YJL116C/YDR487C/YLR174W/YDL021W/YPL061W/YGR087C/YLR134W/YDR050C/YPR001W/YJR009C/YIL045W/YPL252C/YNL037C/YLR044C/YNL117W/YFL053W/YJL200C/YIL070C/YMR002W/YMR315W/YJR120W/YNL241C/YPL271W/YER067W/YDL067C/YLR377C/YGR248W/YPL262W/YGR043C/YPL075W/YOL136C/YOR095C/YMR170C/YDL085W/YMR145C/YOR344C/YOR356W/YOL086C/YGR256W/YCR012W/YPR184W/YIL111W/YML070W/YER065C/YLR256W/YJR121W/YBL030C/YBR238C/YFR015C/YPR191W/YKL152C/YLR304C/YBL021C/YFR049W/YLR164W/YKL060C/YOL126C/YNL052W/YHR174W/YJR048W/YGL062W/YBR117C/YKR058W/YLR038C/YDR529C/YOR136W/YLR087C/YLR395C/YJL052W/YBR196C/YAL038W/YLR446W/YNL242W/YGR240C/YMR118C",77
"GO:0015980","energy derivation by oxidation of organic compounds","69/763","208/5539",0.331730769230769,2.40820017138824,8.27367209283344,2.62606926887406e-13,1.93541305116018e-10,1.93541305116018e-10,"YMR256C/YNR001C/YJL116C/YDR487C/YLR174W/YDL021W/YPL061W/YGR087C/YLR134W/YDR050C/YPR001W/YJR009C/YIL045W/YNL037C/YLR044C/YNL117W/YFL053W/YJL200C/YIL070C/YMR002W/YJR120W/YPL271W/YER067W/YDL067C/YLR377C/YPL262W/YPL075W/YOL136C/YMR170C/YDL085W/YMR145C/YOR344C/YOR356W/YOL086C/YCR012W/YPR184W/YIL111W/YML070W/YER065C/YLR256W/YJR121W/YBL030C/YBR238C/YFR015C/YPR191W/YKL152C/YLR304C/YBL021C/YFR049W/YLR164W/YKL060C/YOL126C/YNL052W/YHR174W/YJR048W/YGL062W/YKR058W/YLR038C/YDR529C/YOR136W/YLR087C/YLR395C/YJL052W/YBR196C/YAL038W/YLR446W/YNL242W/YGR240C/YMR118C",69
"GO:0005975","carbohydrate metabolic process","80/763","262/5539",0.305343511450382,2.21664182165618,8.06355263766741,4.70095474776644e-13,2.30973576606924e-10,2.30973576606924e-10,"YKL038W/YNR001C/YLR189C/YLR174W/YDL021W/YPL061W/YLR300W/YGR087C/YER062C/YLR134W/YMR215W/YHR104W/YDR050C/YPR001W/YDR511W/YJR009C/YIL045W/YMR278W/YOL059W/YNL066W/YDR074W/YJR096W/YPR026W/YDL022W/YOL132W/YLR044C/YIL162W/YDL049C/YNL117W/YFL053W/YPL227C/YJL200C/YPL201C/YNL241C/YNR073C/YHL032C/YLR377C/YIL053W/YGR248W/YGR043C/YPL075W/YOL136C/YOR047C/YKR097W/YOR095C/YMR170C/YDL085W/YMR145C/YOR344C/YOL086C/YGR256W/YCR012W/YGR189C/YPR184W/YML070W/YER065C/YNR071C/YNR067C/YFR015C/YIL155C/YKL152C/YJL034W/YLR304C/YIL123W/YKL060C/YOL126C/YHR174W/YGL062W/YKR058W/YFR042W/YJL052W/YBR196C/YCL018W/YMR305C/YAL038W/YLR446W/YDL055C/YNL242W/YHR043C/YGR240C",80
"GO:0043436","oxoacid metabolic process","100/763","374/5539",0.267379679144385,1.94104330639679,7.5321131188875,4.46199758181346e-12,1.64424610889826e-09,1.64424610889826e-09,"YLR372W/YNR001C/YMR009W/YML054C/YEL071W/YKR080W/YOL058W/YGR124W/YDR354W/YLR174W/YDL021W/YPL061W/YAR035W/YER055C/YCR037C/YGR087C/YOR375C/YOR363C/YLR134W/YDR050C/YMR169C/YPR001W/YPR167C/YJR009C/YCL026C-A/YJR148W/YJR010W/YMR272C/YHR067W/YHR205W/YOR317W/YGR208W/YKR009C/YNL037C/YHR208W/YPR006C/YER010C/YLR044C/YPL111W/YNL117W/YDR380W/YIL074C/YGL205W/YJL200C/YLR303W/YGR019W/YNL277W/YDR089W/YLL062C/YKL001C/YER052C/YLR377C/YMR250W/YBL015W/YPL262W/YPL075W/YOL136C/YOL002C/YPL273W/YAL012W/YMR170C/YOR100C/YOR344C/YOL086C/YGR256W/YCR012W/YFR055W/YCR034W/YER065C/YLR058C/YPR035W/YIR017C/YGL055W/YMR207C/YPL095C/YPR002W/YIL160C/YDL192W/YKL152C/YLR304C/YFR049W/YLR231C/YKL060C/YOL126C/YHR174W/YML123C/YGL062W/YOR136W/YKR034W/YGL148W/YJL052W/YBR084W/YBR196C/YDL168W/YNL217W/YCL064C/YCL018W/YAL038W/YLR446W/YGR240C",100
"GO:0006082","organic acid metabolic process","100/763","376/5539",0.265957446808511,1.93071860795851,7.47081259792793,6.32910924568322e-12,1.71548496838655e-09,1.71548496838655e-09,"YLR372W/YNR001C/YMR009W/YML054C/YEL071W/YKR080W/YOL058W/YGR124W/YDR354W/YLR174W/YDL021W/YPL061W/YAR035W/YER055C/YCR037C/YGR087C/YOR375C/YOR363C/YLR134W/YDR050C/YMR169C/YPR001W/YPR167C/YJR009C/YCL026C-A/YJR148W/YJR010W/YMR272C/YHR067W/YHR205W/YOR317W/YGR208W/YKR009C/YNL037C/YHR208W/YPR006C/YER010C/YLR044C/YPL111W/YNL117W/YDR380W/YIL074C/YGL205W/YJL200C/YLR303W/YGR019W/YNL277W/YDR089W/YLL062C/YKL001C/YER052C/YLR377C/YMR250W/YBL015W/YPL262W/YPL075W/YOL136C/YOL002C/YPL273W/YAL012W/YMR170C/YOR100C/YOR344C/YOL086C/YGR256W/YCR012W/YFR055W/YCR034W/YER065C/YLR058C/YPR035W/YIR017C/YGL055W/YMR207C/YPL095C/YPR002W/YIL160C/YDL192W/YKL152C/YLR304C/YFR049W/YLR231C/YKL060C/YOL126C/YHR174W/YML123C/YGL062W/YOR136W/YKR034W/YGL148W/YJL052W/YBR084W/YBR196C/YDL168W/YNL217W/YCL064C/YCL018W/YAL038W/YLR446W/YGR240C",100
"GO:0045333","cellular respiration","52/763","144/5539",0.361111111111111,2.62148682102811,7.87962465407182,6.98297816168203e-12,1.71548496838655e-09,1.71548496838655e-09,"YMR256C/YNR001C/YJL116C/YDR487C/YLR174W/YDL021W/YDR050C/YPR001W/YJR009C/YNL037C/YNL117W/YJL200C/YIL070C/YMR002W/YJR120W/YPL271W/YDL067C/YLR377C/YPL262W/YPL075W/YOL136C/YOR344C/YOR356W/YCR012W/YIL111W/YER065C/YLR256W/YJR121W/YBL030C/YBR238C/YPR191W/YKL152C/YLR304C/YBL021C/YFR049W/YLR164W/YKL060C/YOL126C/YNL052W/YHR174W/YJR048W/YGL062W/YLR038C/YDR529C/YOR136W/YLR395C/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C/YMR118C",52
"GO:0019752","carboxylic acid metabolic process","95/763","357/5539",0.266106442577031,1.93180024303299,7.27469531820743,2.21848075844393e-11,4.67148662563766e-09,4.67148662563766e-09,"YLR372W/YNR001C/YMR009W/YML054C/YEL071W/YKR080W/YOL058W/YGR124W/YDR354W/YLR174W/YDL021W/YPL061W/YAR035W/YER055C/YGR087C/YOR375C/YOR363C/YLR134W/YDR050C/YMR169C/YPR001W/YPR167C/YJR009C/YCL026C-A/YJR148W/YJR010W/YMR272C/YHR067W/YHR205W/YOR317W/YGR208W/YKR009C/YNL037C/YHR208W/YPR006C/YER010C/YLR044C/YPL111W/YNL117W/YDR380W/YIL074C/YGL205W/YJL200C/YLR303W/YGR019W/YNL277W/YLL062C/YKL001C/YER052C/YLR377C/YMR250W/YBL015W/YPL262W/YPL075W/YOL136C/YOL002C/YPL273W/YAL012W/YMR170C/YOR100C/YOR344C/YOL086C/YGR256W/YCR012W/YFR055W/YCR034W/YER065C/YLR058C/YPR035W/YIR017C/YGL055W/YMR207C/YPL095C/YPR002W/YIL160C/YDL192W/YKL152C/YLR304C/YFR049W/YLR231C/YKL060C/YOL126C/YHR174W/YGL062W/YOR136W/YGL148W/YJL052W/YBR084W/YBR196C/YDL168W/YCL064C/YCL018W/YAL038W/YLR446W/YGR240C",95
"GO:0046034","ATP metabolic process","27/763","51/5539",0.529411764705882,3.84326574666564,8.15271152163336,3.20445809248125e-11,5.9042140353967e-09,5.9042140353967e-09,"YJL116C/YDL004W/YDL021W/YDR226W/YDR050C/YPR020W/YJR009C/YPL271W/YKL016C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YOL077W-A/YJR121W/YDR322C-A/YKL152C/YKL060C/YHR174W/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YGR240C",27
"GO:0032787","monocarboxylic acid metabolic process","58/763","177/5539",0.327683615819209,2.37881985324063,7.4513908135061,4.13091063296401e-11,6.76551363665439e-09,6.76551363665439e-09,"YLR372W/YML054C/YEL071W/YLR174W/YDL021W/YPL061W/YAR035W/YGR087C/YOR363C/YLR134W/YDR050C/YMR169C/YPR001W/YJR009C/YCL026C-A/YMR272C/YHR067W/YOR317W/YKR009C/YPR006C/YER010C/YLR044C/YNL117W/YGL205W/YJL200C/YGR019W/YLR377C/YBL015W/YPL075W/YOL136C/YOL002C/YMR170C/YOR100C/YOR344C/YOL086C/YGR256W/YCR012W/YFR055W/YCR034W/YER065C/YGL055W/YMR207C/YPL095C/YPR002W/YIL160C/YDL192W/YKL152C/YLR304C/YLR231C/YKL060C/YOL126C/YHR174W/YJL052W/YBR196C/YCL018W/YAL038W/YLR446W/YGR240C",58
"GO:0006163","purine nucleotide metabolic process","48/763","133/5539",0.360902255639098,2.61997063431843,7.55790671862795,4.75277539149022e-11,7.00559092705659e-09,7.00559092705659e-09,"YKR080W/YJL116C/YDL004W/YLR174W/YDL021W/YPL061W/YDR226W/YNL129W/YDR050C/YOR222W/YPR020W/YJR009C/YJR010W/YML022W/YMR315W/YNL241C/YPL271W/YKL016C/YDR400W/YKL001C/YHR202W/YOR128C/YLR377C/YGR248W/YGR043C/YPL075W/YOL136C/YOR095C/YOR344C/YGR256W/YCR012W/YGL234W/YOL077W-A/YJR121W/YDR322C-A/YIL155C/YKL152C/YLR231C/YKL060C/YHR174W/YBR117C/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YGR240C",48
