"gene_id","count"
"ETS1-1",0
"ETS1-2",0
"ETS2-1",0
"ETS2-2",0
"HRA1",4
"ICR1",32
"IRT1",18
"ITS1-1",0
"ITS1-2",0
"ITS2-1",0
"ITS2-2",0
"LSR1",8839
"NME1",507
"PWR1",9
"Q0010",0
"Q0017",1
"Q0020",53618
"Q0032",0
"Q0045",1821
"Q0050",0
"Q0055",0
"Q0060",61
"Q0065",0
"Q0070",0
"Q0075",30
"Q0080",2
"Q0085",446
"Q0092",0
"Q0105",1278
"Q0110",66
"Q0115",4
"Q0120",73
"Q0130",3968
"Q0140",3
"Q0142",0
"Q0143",0
"Q0144",0
"Q0158",73114
"Q0160",0
"Q0182",8
"Q0250",2387
"Q0255",3
"Q0275",1355
"Q0285",8
"Q0297",0
"RDN18-1",0
"RDN18-2",0
"RDN25-1",0
"RDN25-2",0
"RDN37-1",0
"RDN37-2",0
"RDN5-1",10
"RDN5-2",0
"RDN5-3",0
"RDN5-4",0
"RDN5-5",0
"RDN5-6",0
"RDN58-1",0
"RDN58-2",0
"RME2",29
"RME3",18
"RNA170",6
"RPR1",187
"RUF20",14
"RUF21",0
"RUF22",0
"RUF23",4
"RUF5-1",0
"RUF5-2",0
"SCR1",590
"SRG1",110
"YAL001C",132
"YAL002W",76
"YAL003W",232
"YAL004W",75
"YAL005C",615
"YAL007C",21
"YAL008W",78
"YAL009W",37
"YAL010C",10
"YAL011W",38
"YAL012W",13
"YAL013W",23
"YAL014C",12
"YAL015C",9
"YAL016C-A",27
"YAL016C-B",15
"YAL016W",192
"YAL017W",370
"YAL018C",0
"YAL019W",81
"YAL019W-A",3
"YAL020C",18
"YAL021C",81
"YAL022C",30
"YAL023C",72
"YAL024C",24
"YAL025C",14
"YAL026C",73
"YAL026C-A",2
"YAL027W",21
"YAL028W",14
"YAL029C",152
"YAL030W",68
"YAL031C",76
"YAL031W-A",27
"YAL032C",28
"YAL033W",17
"YAL034C",128
"YAL034C-B",5
"YAL034W-A",18
"YAL035W",171
"YAL036C",21
"YAL037C-A",15
"YAL037C-B",1483
"YAL037W",18
"YAL038W",2371
"YAL039C",48
"YAL040C",43
"YAL041W",59
"YAL042C-A",5
"YAL042W",55
"YAL043C",21
"YAL044C",59
"YAL044W-A",35
"YAL045C",21
"YAL046C",9
"YAL047C",18
"YAL047W-A",5
"YAL048C",26
"YAL049C",166
"YAL051W",83
"YAL053W",146
"YAL054C",78
"YAL055W",34
"YAL056C-A",5
"YAL056W",264
"YAL058W",19
"YAL059C-A",12
"YAL059W",23
"YAL060W",338
"YAL061W",196
"YAL062W",32
"YAL063C",10
