"gene_id","count","log10_count"
"ETS1-1",0,0
"ETS1-2",0,0
"ETS2-1",0,0
"ETS2-2",0,0
"HRA1",7,0.903089986991944
"ICR1",40,1.61278385671974
"IRT1",42,1.63346845557959
"ITS1-1",0,0
"ITS1-2",0,0
"ITS2-1",0,0
"ITS2-2",0,0
"LSR1",5073,3.70535046288571
"NME1",519,2.7160033436348
"PWR1",19,1.30102999566398
"Q0010",2,0.477121254719662
"Q0017",0,0
"Q0020",165998,5.22010547180036
"Q0032",0,0
"Q0045",4322,3.63578523553365
"Q0050",0,0
"Q0055",0,0
"Q0060",234,2.37106786227174
"Q0065",0,0
"Q0070",0,0
"Q0075",80,1.90848501887865
"Q0080",5,0.778151250383644
"Q0085",609,2.78532983501077
"Q0092",0,0
"Q0105",2204,3.34340859380386
"Q0110",218,2.34044411484012
"Q0115",13,1.14612803567824
"Q0120",208,2.32014628611105
"Q0130",5765,3.76087463805219
"Q0140",18,1.27875360095283
"Q0142",2,0.477121254719662
"Q0143",0,0
"Q0144",0,0
"Q0158",222714,5.3477494680347
"Q0160",0,0
"Q0182",8,0.954242509439325
"Q0250",4546,3.65772495420511
"Q0255",153,2.18752072083646
"Q0275",2710,3.43312951758049
"Q0285",10,1.04139268515822
"Q0297",0,0
"RDN18-1",0,0
"RDN18-2",0,0
"RDN25-1",0,0
"RDN25-2",0,0
"RDN37-1",0,0
"RDN37-2",0,0
"RDN5-1",2,0.477121254719662
"RDN5-2",0,0
"RDN5-3",0,0
"RDN5-4",0,0
"RDN5-5",0,0
"RDN5-6",0,0
"RDN58-1",0,0
"RDN58-2",0,0
"RME2",36,1.56820172406699
"RME3",15,1.20411998265592
"RNA170",4,0.698970004336019
"RPR1",160,2.20682587603185
"RUF20",22,1.36172783601759
"RUF21",4,0.698970004336019
"RUF22",0,0
"RUF23",0,0
"RUF5-1",0,0
"RUF5-2",0,0
"SCR1",3790,3.57875378442643
"SRG1",96,1.98677173426624
"YAL001C",109,2.04139268515822
"YAL002W",41,1.6232492903979
"YAL003W",423,2.62736585659273
"YAL004W",98,1.99563519459755
"YAL005C",745,2.87273882747267
"YAL007C",86,1.93951925261862
"YAL008W",78,1.89762709129044
"YAL009W",26,1.43136376415899
"YAL010C",32,1.51851393987789
"YAL011W",22,1.36172783601759
"YAL012W",98,1.99563519459755
"YAL013W",26,1.43136376415899
"YAL014C",14,1.17609125905568
"YAL015C",12,1.11394335230684
"YAL016C-A",22,1.36172783601759
"YAL016C-B",15,1.20411998265592
"YAL016W",254,2.40654018043396
"YAL017W",248,2.39619934709574
"YAL018C",1,0.301029995663981
"YAL019W",115,2.06445798922692
"YAL019W-A",5,0.778151250383644
"YAL020C",14,1.17609125905568
"YAL021C",79,1.90308998699194
"YAL022C",21,1.34242268082221
"YAL023C",162,2.21218760440396
"YAL024C",51,1.7160033436348
"YAL025C",69,1.84509804001426
"YAL026C",87,1.94448267215017
"YAL026C-A",4,0.698970004336019
"YAL027W",23,1.38021124171161
"YAL028W",5,0.778151250383644
"YAL029C",212,2.32837960343874
"YAL030W",79,1.90308998699194
"YAL031C",59,1.77815125038364
"YAL031W-A",12,1.11394335230684
"YAL032C",42,1.63346845557959
"YAL033W",27,1.44715803134222
"YAL034C",87,1.94448267215017
"YAL034C-B",3,0.602059991327962
"YAL034W-A",12,1.11394335230684
"YAL035W",246,2.39269695325967
"YAL036C",30,1.49136169383427
"YAL037C-A",7,0.903089986991944
"YAL037C-B",856,2.9329808219232
"YAL037W",4,0.698970004336019
"YAL038W",1228,3.08955188288645
"YAL039C",58,1.77085201164214
"YAL040C",41,1.6232492903979
"YAL041W",57,1.76342799356294
"YAL042C-A",10,1.04139268515822
"YAL042W",51,1.7160033436348
"YAL043C",32,1.51851393987789
"YAL044C",95,1.98227123303957
"YAL044W-A",46,1.67209785793572
"YAL045C",34,1.54406804435028
"YAL046C",41,1.6232492903979
"YAL047C",25,1.41497334797082
"YAL047W-A",1,0.301029995663981
"YAL048C",33,1.53147891704226
"YAL049C",242,2.38560627359831
"YAL051W",70,1.85125834871908
"YAL053W",157,2.19865708695442
"YAL054C",85,1.93449845124357
"YAL055W",29,1.47712125471966
"YAL056C-A",2,0.477121254719662
"YAL056W",182,2.26245108973043
"YAL058W",14,1.17609125905568
"YAL059C-A",13,1.14612803567824
"YAL059W",33,1.53147891704226
"YAL060W",56,1.75587485567249
"YAL061W",77,1.89209460269048
"YAL062W",60,1.78532983501077
"YAL063C",6,0.845098040014257
"YAL063C-A",0,0
"YAL064C-A",0,0
"YAL064W",0,0
"YAL064W-B",0,0
"YAL065C",9,1
"YAL066W",5,0.778151250383644
"YAL067C",90,1.95904139232109
"YAL067W-A",0,0
"YAL068C",0,0
"YAL068W-A",0,0
"YAL069W",0,0
"YAR002C-A",122,2.0899051114394
"YAR002W",63,1.80617997398389
"YAR003W",57,1.76342799356294
"YAR007C",114,2.06069784035361
"YAR008W",42,1.63346845557959
"YAR009C",0,0
"YAR010C",0,0
"YAR014C",88,1.94939000664491
"YAR015W",194,2.29003461136252
"YAR018C",26,1.43136376415899
"YAR019C",26,1.43136376415899
"YAR019W-A",0,0
"YAR020C",0,0
"YAR023C",6,0.845098040014257
"YAR027W",42,1.63346845557959
"YAR028W",7,0.903089986991944
"YAR029W",6,0.845098040014257
"YAR030C",4,0.698970004336019
"YAR031W",1,0.301029995663981
