"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"ETS1-1",0,0,0,0,0,0
"ETS1-2",0,0,0,0,0,0
"ETS2-1",0,0,0,0,0,0
"ETS2-2",0,0,0,0,0,0
"HRA1",7,3,4,6,9,4
"ICR1",40,40,22,39,31,32
"IRT1",42,40,17,15,16,18
"ITS1-1",0,0,0,0,0,0
"ITS1-2",0,0,0,0,0,0
"ITS2-1",0,0,0,0,0,0
"ITS2-2",0,0,0,0,0,0
"LSR1",5073,6294,7857,6377,6868,8839
"NME1",519,655,1066,371,354,507
"PWR1",19,25,15,8,9,9
"Q0010",2,0,1,0,0,0
"Q0017",0,0,0,0,0,1
"Q0020",165998,96700,13234,43220,49977,53618
"Q0032",0,1,0,0,0,0
"Q0045",4322,1815,1369,1745,1979,1821
"Q0050",0,0,0,0,0,0
"Q0055",0,0,0,0,0,0
"Q0060",234,168,26,74,79,61
"Q0065",0,0,0,0,0,0
"Q0070",0,0,0,0,0,0
"Q0075",80,50,12,38,41,30
"Q0080",5,1,1,5,8,2
"Q0085",609,445,63,548,564,446
"Q0092",0,0,0,0,0,0
"Q0105",2204,896,683,1048,1286,1278
"Q0110",218,147,11,52,51,66
"Q0115",13,3,0,2,3,4
"Q0120",208,133,16,55,70,73
"Q0130",5765,6111,942,3252,3856,3968
"Q0140",18,28,1,8,15,3
"Q0142",2,3,0,0,0,0
"Q0143",0,0,0,0,0,0
"Q0144",0,0,0,0,0,0
"Q0158",222714,170686,14761,54952,63667,73114
"Q0160",0,0,0,0,0,0
"Q0182",8,3,0,3,2,8
"Q0250",4546,1659,1913,2396,2689,2387
"Q0255",153,39,8,2,0,3
"Q0275",2710,1522,330,1190,1386,1355
"Q0285",10,6,1,9,8,8
"Q0297",0,0,0,0,0,0
"RDN18-1",0,0,0,0,0,0
"RDN18-2",0,0,0,0,0,0
"RDN25-1",0,0,0,0,0,0
"RDN25-2",0,0,0,0,0,0
"RDN37-1",0,0,0,0,0,0
"RDN37-2",0,0,0,0,0,0
"RDN5-1",2,13,3,0,1,10
"RDN5-2",0,0,0,0,0,0
"RDN5-3",0,0,0,0,0,0
"RDN5-4",0,0,0,0,0,0
"RDN5-5",0,0,0,0,0,0
"RDN5-6",0,0,0,0,0,0
"RDN58-1",0,0,0,0,0,0
"RDN58-2",0,0,0,0,0,0
"RME2",36,26,28,29,37,29
"RME3",15,15,7,17,18,18
"RNA170",4,6,5,5,9,6
"RPR1",160,270,346,212,211,187
"RUF20",22,30,15,23,21,14
"RUF21",4,11,1,6,7,0
"RUF22",0,1,0,0,0,0
"RUF23",0,2,1,5,2,4
"RUF5-1",0,0,0,0,0,0
"RUF5-2",0,0,0,0,0,0
"SCR1",3790,3982,5048,559,603,590
"snR10",2,1,0,3,2,1
"snR11",426,387,819,556,494,589
"snR128",179,157,273,156,144,132
"snR13",87,109,105,45,31,29
"snR14",139,119,218,70,62,90
"snR161",115,77,138,107,113,67
"snR17a",1193,1361,3191,890,899,944
"snR17b",184,195,389,172,168,162
"snR18",16,12,17,19,22,18
"snR189",209,174,377,501,395,515
"snR19",2217,2345,4066,1501,1761,2053
"snR190",62,79,77,75,65,75
"snR191",44,56,63,38,28,28
"snR24",25,12,18,8,13,17
"snR3",227,304,381,224,199,219
"snR30",346,327,520,280,308,290
"snR31",195,182,242,243,251,228
"snR32",269,317,410,218,231,285
"snR33",109,106,189,114,99,82
"snR34",474,462,799,445,415,625
"snR35",437,409,687,555,497,481
"snR36",85,55,133,78,57,77
"snR37",1706,1541,3182,1383,1233,1750
