"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"HRA1",2.805,2.003,3.327,3.288,3.646,2.626
"ICR1",5.139,5.362,5.663,5.858,5.346,5.405
"IRT1",5.207,5.362,5.3,4.519,4.424,4.601
"LSR1",12.084,12.625,14.115,13.187,13.101,13.48
"NME1",8.798,9.362,11.234,9.086,8.826,9.359
"PWR1",4.109,4.705,5.124,3.666,3.646,3.66
"Q0020",17.116,16.566,14.867,15.947,15.964,16.081
"Q0045",11.853,10.831,11.595,11.317,11.307,11.202
"Q0060",7.653,7.406,5.9,6.77,6.673,6.32
"Q0075",6.118,5.677,4.812,5.821,5.74,5.314
"Q0080",2.4,1.002,1.704,3.055,3.49,1.842
"Q0085",9.028,8.806,7.163,9.648,9.497,9.174
"Q0105",10.882,9.814,10.592,10.582,10.685,10.691
"Q0110",7.551,7.214,4.692,6.267,6.05,6.432
"Q0115",3.6,2.003,0,1.972,2.274,2.626
"Q0120",7.484,7.071,5.215,6.347,6.501,6.576
"Q0130",12.269,12.582,11.055,12.215,12.269,12.325
"Q0140",4.036,4.862,1.704,3.666,4.336,2.287
"Q0158",17.54,17.386,15.025,16.294,16.314,16.529
"Q0182",2.972,2.003,0,2.429,1.831,3.504
"Q0250",11.926,10.702,12.077,11.775,11.749,11.592
"Q0255",7.044,5.326,4.253,1.972,0,2.287
"Q0275",11.18,10.577,9.543,10.765,10.793,10.776
"Q0285",3.257,2.811,1.704,3.823,3.49,3.504
"RDN5-1",1.439,3.812,2.959,0,1.189,3.8
"RME2",4.991,4.759,6.005,5.439,5.595,5.267
"RME3",3.791,4.004,4.071,4.692,4.587,4.601
"RNA170",2.145,2.811,3.62,3.055,3.646,3.131
"RPR1",7.108,8.087,9.612,8.28,8.082,7.923
"RUF20",4.309,4.959,5.124,5.114,4.801,4.256
"RUF21",2.145,3.589,1.704,3.288,3.316,0
"RUF23",0,1.588,1.704,3.055,1.831,2.626
"SCR1",11.664,11.964,13.477,9.676,9.593,9.577
"snR10",1.439,1.002,0,2.429,1.831,1.197
"snR11",8.514,8.605,10.854,9.668,9.306,9.575
"snR128",7.269,7.308,9.27,7.839,7.533,7.423
"snR13",6.238,6.786,7.896,6.061,5.346,5.267
"snR14",6.906,6.912,8.946,6.691,6.328,6.875
"snR161",6.635,6.29,8.288,7.298,7.186,6.453
"snR17a",9.997,10.416,12.815,10.346,10.169,10.254
"snR17b",7.308,7.619,9.78,7.98,7.754,7.717
"snR18",3.877,3.705,5.3,4.847,4.865,4.601
"snR189",7.491,7.456,9.735,9.518,8.984,9.381
"snR19",10.891,11.201,13.165,11.1,11.138,11.375
"snR190",5.757,6.327,7.45,6.79,6.395,6.614
"snR191",5.273,5.837,7.163,5.821,5.203,5.217
"snR24",4.485,3.705,5.38,3.666,4.14,4.522
"snR3",7.609,8.257,9.751,8.359,7.998,8.151
"snR30",8.215,8.362,10.199,8.681,8.626,8.554
"snR31",7.391,7.52,9.097,8.477,8.331,8.208
"snR32",7.853,8.318,9.856,8.32,8.212,8.529
"snR33",6.559,6.746,8.741,7.389,6.996,6.742
"snR34",8.668,8.86,10.818,9.348,9.055,9.66
"snR35",8.551,8.684,10.6,9.666,9.315,9.283
"snR36",6.204,5.812,8.235,6.846,6.208,6.652
"snR37",10.513,10.595,12.811,10.982,10.624,11.144
"snR38",2.617,2.811,3.62,1.3,2.274,1.197
"snR39",2.617,3.464,4.692,3.055,2.613,3.329
"snR39B",3.959,5.431,5.9,4.424,3.49,4.676
"snR4",7.564,8.092,9.155,8.428,8.314,8.617
"snR40",7.161,7.504,9.206,8.366,7.72,8.419
"snR41",5.207,5.049,7.251,5.439,4.927,5.058
"snR42",6.72,6.825,8.427,7.521,7.173,7.345
"snR43",5.949,6.528,7.575,6.093,5.964,6.119
"snR44",7.354,7.612,8.865,6.061,5.84,5.855
"snR45",8.048,8.327,10.285,10.661,10.405,10.484
"snR46",8.487,8.953,10.715,9.475,9.072,9.111
"snR47",4.179,3.589,5.844,6.77,6.795,6.826
"snR48",2.805,1.588,4.071,2.429,3.914,3.329
