"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"Q0010",2,0,1,0,0,0
"Q0017",0,0,0,0,0,1
"Q0032",0,1,0,0,0,0
"Q0142",2,3,0,0,0,0
"RUF22",0,1,0,0,0,0
"snR53",3,4,0,0,0,0
"tA(AGC)F",0,0,0,0,0,1
"tA(AGC)J",0,1,0,0,0,0
"tA(UGC)G",0,0,1,0,0,0
"tA(UGC)L",0,0,0,0,1,1
"tA(UGC)Q",2,0,0,0,0,0
"tC(GCA)P1",2,0,0,0,1,0
"tD(GUC)D",0,1,0,0,1,0
"tD(GUC)G2",2,1,0,0,0,0
"tD(GUC)I1",1,1,0,0,0,0
"tD(GUC)J1",1,0,0,0,0,0
"tE(CUC)I",0,1,0,0,0,0
"tE(UUC)L",1,0,0,0,0,0
"tF(GAA)H2",0,1,0,0,0,0
"tF(GAA)M",0,1,0,0,0,0
"tF(GAA)Q",1,1,0,0,0,0
"tG(GCC)G1",1,1,0,0,0,0
"tG(GCC)J1",0,1,0,0,0,0
"tG(GCC)O1",1,0,0,0,3,0
"tG(GCC)O2",0,0,1,1,0,0
"tG(GCC)P1",1,0,0,0,0,0
"tG(GCC)P2",1,0,0,0,0,0
"tG(UCC)Q",0,1,0,0,0,2
"tH(GUG)E2",3,0,0,0,0,0
"tH(GUG)M",0,0,1,0,0,1
"tH(GUG)Q",2,0,0,0,0,0
"tI(AAU)D",0,0,0,1,0,0
"tI(AAU)G",0,0,0,0,0,1
"tI(AAU)L1",0,0,0,0,0,1
"tI(AAU)N1",1,0,0,0,0,0
"tI(AAU)P2",0,1,0,0,0,0
"tI(GAU)Q",2,0,1,0,0,0
"tK(CUU)C",1,0,0,0,0,0
"tK(CUU)P",1,0,0,1,0,0
"tK(UUU)G2",1,0,0,0,0,0
"tK(UUU)P",0,0,1,0,0,0
"tL(CAA)A",1,0,0,0,0,0
"tL(CAA)D",0,0,1,0,0,0
"tL(CAA)M",0,1,0,0,0,0
"tL(CAA)N",0,0,1,0,0,0
"tL(GAG)G",1,2,0,0,1,0
"tL(UAA)B2",0,0,3,0,0,1
"tL(UAA)D",0,0,0,0,0,1
"tM(CAU)C",0,1,0,0,0,0
"tM(CAU)D",0,0,0,0,1,0
"tM(CAU)E",1,0,0,0,0,1
"tM(CAU)J2",0,0,1,0,0,0
"tM(CAU)O2",1,0,0,1,0,1
"tM(CAU)P",0,0,1,0,0,1
"tN(GUU)G",1,0,0,0,0,0
"tN(GUU)Q",0,0,0,0,1,1
"tP(AGG)C",0,2,0,0,1,0
"tP(AGG)N",0,0,1,0,0,1
"tP(UGG)O3",0,0,1,0,0,0
"tQ(UUG)B",1,0,0,0,0,0
"tQ(UUG)D1",0,0,0,0,3,0
"tQ(UUG)E1",0,1,0,0,0,0
"tQ(UUG)E2",0,0,0,0,0,1
"tQ(UUG)H",0,1,0,0,0,1
"tQ(UUG)L",0,0,0,1,0,0
"tR(ACG)E",0,2,0,0,2,0
"tR(ACG)J",0,1,0,0,1,0
"tR(ACG)L",0,0,1,0,1,0
"tR(CCG)L",1,0,0,0,0,0
"tR(CCU)J",1,1,0,0,0,0
"tR(UCU)E",0,0,1,0,0,2
"tR(UCU)G2",2,0,0,0,0,0
"tR(UCU)M1",1,0,0,1,2,0
"tR(UCU)Q1",0,2,0,0,0,0
"tS(AGA)B",0,0,1,0,0,0
"tS(AGA)D2",0,0,0,1,0,1
"tS(AGA)D3",0,1,0,0,0,0
"tS(AGA)J",2,0,0,0,0,0
"tS(AGA)M",0,0,2,0,0,0
"tS(CGA)C",0,1,0,0,0,1
"tS(GCU)O",0,2,0,0,0,1
"tS(UGA)P",0,0,1,0,0,1
"tT(AGU)B",1,0,0,0,0,0
"tT(AGU)H",0,1,0,0,0,0
"tT(AGU)I2",0,0,1,0,0,0
"tT(CGU)K",1,1,0,1,0,0
"tT(UGU)G2",0,0,1,0,0,0
"tT(UGU)Q1",0,1,0,0,0,0
"tV(AAC)E2",1,0,0,1,0,1
"tV(AAC)K2",0,0,0,0,1,0
"tV(AAC)M2",0,1,0,1,0,0
"tV(AAC)O",0,1,0,0,0,0
"tV(CAC)H",0,1,0,0,0,0
"tV(UAC)B",0,0,1,0,0,0
"tV(UAC)D",1,0,2,0,0,0
"tW(CCA)J",0,0,1,0,2,0
"tW(CCA)M",0,1,0,0,0,0
"tW(CCA)P",0,0,0,0,1,0
"tW(UCA)Q",0,4,0,0,2,0
"tY(GUA)M1",1,0,0,0,0,0
"YAL018C",1,1,1,0,0,0
